lead_time,model_name,dataset,threshold,n_samples,positive_rate,accuracy,precision,recall,f1,roc_auc,pr_auc,balanced_accuracy,tn,fp,fn,tp
T+1,RandomForest,validation,0.34,1095,0.2447488584474886,0.9954337899543378,0.9888475836431226,0.9925373134328358,0.9906890130353817,0.998998357667527,0.9977744390482021,0.9944548719522099,824,3,2,266
T+1,RandomForest,test,0.34,2190,0.3082191780821918,0.9885844748858448,0.9710144927536232,0.9925925925925926,0.9816849816849816,0.9996792568145704,0.9993017680586517,0.9896956362302897,1495,20,5,670
T+1,XGBoost,validation,0.92,1095,0.2447488584474886,0.9981735159817352,1.0,0.9925373134328358,0.9962546816479401,0.9992284646898518,0.9981986484242108,0.9962686567164178,827,0,2,266
T+1,XGBoost,test,0.92,2190,0.3082191780821918,0.9899543378995433,0.9984732824427481,0.9688888888888889,0.9834586466165414,0.9998181151448479,0.9996004768104307,0.9841144114411442,1514,1,21,654
T+1,LightGBM,validation,0.9,1095,0.2447488584474886,0.9981735159817352,1.0,0.9925373134328358,0.9962546816479401,0.9991337147394828,0.9980477822779472,0.9962686567164178,827,0,2,266
T+1,LightGBM,test,0.9,2190,0.3082191780821918,0.9926940639269406,0.992526158445441,0.9837037037037037,0.9880952380952381,0.9997242390905757,0.9994061346235797,0.9902016868353503,1510,5,11,664
T+3,RandomForest,validation,0.68,1095,0.2447488584474886,0.9881278538812786,0.9922779922779923,0.9589552238805971,0.9753320683111955,0.9972883466584852,0.9932726428608275,0.9782684220974932,825,2,11,257
T+3,RandomForest,test,0.68,2184,0.3090659340659341,0.9743589743589743,0.9889415481832543,0.9274074074074075,0.9571865443425076,0.9983202022433302,0.9964879098818457,0.9613842868713645,1502,7,49,626
T+3,XGBoost,validation,0.62,1095,0.2447488584474886,0.9917808219178083,0.9961685823754789,0.9701492537313433,0.9829867674858223,0.9990885957154975,0.9974409791568187,0.984470031944269,826,1,8,260
T+3,XGBoost,test,0.62,2184,0.3090659340659341,0.9807692307692307,0.9730941704035875,0.9644444444444444,0.96875,0.9987158530299683,0.9972561041143182,0.9762580075104925,1491,18,24,651
T+3,LightGBM,validation,0.55,1095,0.2447488584474886,0.9917808219178083,0.9961685823754789,0.9701492537313433,0.9829867674858223,0.9987547149380064,0.9966202243775719,0.984470031944269,826,1,8,260
T+3,LightGBM,test,0.55,2184,0.3090659340659341,0.9821428571428571,0.9760479041916168,0.965925925925926,0.9709605361131795,0.9987826129641901,0.9973553526692052,0.9776614387747589,1493,16,23,652
T+7,RandomForest,validation,0.59,1095,0.2447488584474886,0.9698630136986301,0.9757085020242915,0.8992537313432836,0.9359223300970874,0.9940713602483351,0.9838010130592458,0.9459992961432258,821,6,27,241
T+7,RandomForest,test,0.59,2172,0.31077348066298344,0.9581031307550645,0.9694533762057878,0.8933333333333333,0.9298380878951427,0.9928934412033944,0.9806830225482054,0.9403206412825651,1478,19,72,603
T+7,XGBoost,validation,0.64,1095,0.2447488584474886,0.9698630136986301,0.9607843137254902,0.914179104477612,0.9369024856596558,0.9954204190654947,0.9872805457755987,0.9510436030247793,817,10,23,245
T+7,XGBoost,test,0.64,2172,0.31077348066298344,0.964548802946593,0.970125786163522,0.914074074074074,0.9412662090007627,0.9942571562878845,0.9860406550736422,0.9506910116529355,1478,19,58,617
T+7,LightGBM,validation,0.92,1095,0.2447488584474886,0.9698630136986301,0.9916317991631799,0.8843283582089553,0.9349112426035503,0.9936562652276706,0.9828181187194032,0.9409549892616723,825,2,31,237
T+7,LightGBM,test,0.92,2172,0.31077348066298344,0.9534990791896869,0.9689542483660131,0.8785185185185185,0.9215229215229215,0.9955674311586136,0.9899802300668303,0.9329132338751577,1478,19,82,593
T+10,RandomForest,validation,0.46,1095,0.2447488584474886,0.9525114155251142,0.921875,0.8805970149253731,0.9007633587786259,0.9909852190077424,0.9747015643983896,0.9282066090346334,807,20,32,236
T+10,RandomForest,test,0.46,2163,0.3120665742024965,0.9537679149329634,0.96,0.8888888888888888,0.9230769230769231,0.990900039824771,0.9720058650251069,0.9360439068100358,1463,25,75,600
T+10,XGBoost,validation,0.6,1095,0.2447488584474886,0.9570776255707762,0.9437751004016064,0.8768656716417911,0.9090909090909091,0.9917522424154921,0.9773780264615655,0.9299685069212583,813,14,33,235
T+10,XGBoost,test,0.6,2163,0.3120665742024965,0.9639389736477115,0.9671361502347418,0.9155555555555556,0.9406392694063926,0.9939635603345282,0.9837405542212305,0.9507213261648746,1467,21,57,618
T+10,LightGBM,validation,0.9,1095,0.2447488584474886,0.9515981735159817,0.973568281938326,0.8246268656716418,0.8929292929292929,0.988354779909401,0.9690109687599843,0.9086858633074049,821,6,47,221
T+10,LightGBM,test,0.9,2163,0.3120665742024965,0.9472954230235784,0.9698492462311558,0.8577777777777778,0.910377358490566,0.9939068100358424,0.9849849347003184,0.9228405017921146,1470,18,96,579
