lead_time,model_name,accuracy,precision,recall,f1,roc_auc,pr_auc,balanced_accuracy
T+1,RandomForest,0.8973,0.9891,0.6741,0.8018,0.981,0.9652,0.8354
T+1,XGBoost,0.9333,0.9616,0.8163,0.883,0.9853,0.9704,0.9009
T+1,LightGBM,0.9055,0.9553,0.7274,0.8259,0.9823,0.9601,0.8561
T+3,RandomForest,0.9029,0.9853,0.6963,0.816,0.9848,0.9703,0.8458
T+3,XGBoost,0.9313,0.9503,0.8207,0.8808,0.9861,0.9712,0.9008
T+3,LightGBM,0.9125,0.9515,0.7556,0.8423,0.982,0.9582,0.8692
T+7,RandomForest,0.884,0.9953,0.6296,0.7713,0.9841,0.9709,0.8141
T+7,XGBoost,0.9065,0.9739,0.7185,0.8269,0.988,0.9719,0.8549
T+7,LightGBM,0.8812,0.9728,0.6356,0.7688,0.9873,0.9702,0.8138
T+10,RandomForest,0.8877,0.9821,0.6519,0.7836,0.9851,0.9699,0.8232
T+10,XGBoost,0.932,0.9664,0.8104,0.8815,0.9909,0.9805,0.8988
T+10,LightGBM,0.8816,0.9816,0.6326,0.7694,0.9865,0.9704,0.8136
